Hole_ID,Mo,Nb,Zr,Sr,Rb,Th,Pb,Ars,Ta,Zn,Cu,Ni,Co,Fe,Mn,Cr,V,Ti,Sc,Ca,K,S,Ba,Cs,Ag,Nb_Zr,V_Zr,Ti_Zr,Sc_Zr,Sr_Zr,Ta_Zr,Ca_Zr,K_Zr,Rb_Zr,Mn_Zr,Cs_Zr,Zn_Zr,Fe_Zr,Ni_Zr,Co_Zr,Cu_Zr,L1_Niton,L2_Niton,Ox_Niton,Au_Total,MagSus,Au,Au_Tails,Solid_L1,Recovery
1151627,2,0,175,290,92,4,7,54,0,57,41,26,163,38862,747,177,154,3119,45,8008,28697,1181,718,43,5,0,0.88,18,0.26,1.66,0,45.8,164,0.53,4.27,0,0.33,222,0.15,0.93,0.23,S4,fr,Fr,0.2,0.47,0.154,0.046,S4,0.701298701
1151629,2,0,136,242,63,4,7,50,0,43,40,26,163,28282,513,164,98,2611,45,6429,23323,1099,556,18,5,0,0.72,19,0.33,1.78,0,47.3,171,0.46,3.77,0,0.32,208,0.19,1.2,0.29,S4,fr,Fr,7.346,0.96,6.848,0.498,S4,0.927278037
1151648,2,0,167,372,86,4,7,7,0,53,16,59,163,35610,660,193,139,2651,45,7894,25517,772,783,39,5,0,0.83,16,0.27,2.23,0,47.3,153,0.51,3.95,0,0.32,213,0.35,0.98,0.1,S4,fr,Fr,0.184,0.36,0.14,0.044,S4,0.685714286
1151649,2,0,201,408,71,4,7,20,0,54,16,66,163,28973,617,166,119,2681,45,10466,21048,349,821,44,5,0,0.59,13,0.22,2.03,0,52.1,105,0.35,3.07,0,0.27,144,0.33,0.81,0.08,S4,fr,Fr,0.604,0.12,0.556,0.048,S4,0.913669065
1151650,2,0,227,475,72,4,7,37,0,43,16,56,163,28465,587,151,142,3113,45,10824,21309,349,690,40,5,0,0.63,14,0.2,2.09,0,47.7,94,0.32,2.59,0,0.19,125,0.25,0.72,0.07,S4,fr,Fr,0.275,0.36,0.233,0.042,S4,0.819742489
1151652,2,0,168,391,74,4,15,18,0,55,16,57,163,29051,550,167,112,2569,45,9218,20767,712,716,54,5,0,0.67,15,0.27,2.33,0,54.9,124,0.44,3.27,0,0.33,173,0.34,0.97,0.1,S4,fr,Fr,0.183,0.51,0.139,0.044,S4,0.683453237
1151654,2,0,231,551,81,4,20,57,0,58,38,54,163,29507,542,122,128,2773,45,10284,24522,1173,1053,47,5,0,0.55,12,0.19,2.39,0,44.5,106,0.35,2.35,0,0.25,128,0.23,0.71,0.16,S4,fr,Fr,0.398,0.55,0.363,0.035,S4,0.903581267
1151655,2,0,164,467,56,4,14,2319,0,46,34,26,163,22913,392,119,102,2366,45,9177,17589,1340,696,18,5,0,0.62,14,0.27,2.85,0,56,107,0.34,2.39,0,0.28,140,0.16,0.99,0.21,S3,fr,Fr,0.274,0.28,0.237,0.037,S4,0.843881857
1151657,2,0,154,369,55,4,7,725,0,43,16,26,163,20925,411,123,106,2359,45,8890,18366,727,728,37,5,0,0.69,15,0.29,2.4,0,57.7,119,0.36,2.67,0,0.28,136,0.17,1.06,0.1,S4,fr,Fr,0.842,0.14,0.816,0.026,S4,0.968137255
1151658,2,0,182,380,76,4,7,89,0,51,16,59,163,29588,570,170,113,2484,45,14372,20874,886,763,41,5,0,0.62,14,0.25,2.09,0,79,115,0.42,3.13,0,0.28,163,0.32,0.9,0.09,S4,fr,Fr,0.379,0.49,0.345,0.034,S4,0.901449275
1151659,2,0,182,378,74,4,7,74,0,48,16,76,163,29539,536,165,115,2565,45,8347,20444,810,755,52,5,0,0.63,14,0.25,2.08,0,45.9,112,0.41,2.95,0,0.26,162,0.42,0.9,0.09,S4,fr,Fr,0.166,0.34,0.125,0.041,S4,0.672
1151665,2,0,335,470,90,4,7,2546,0,85,44,197,163,38834,1005,194,850,3416,195,12168,18693,13663,516,18,5,0,2.54,10,0.58,1.4,0,36.3,56,0.27,3,0,0.25,116,0.59,0.49,0.13,S4,fr,Fr,0.948,0.04,0.823,0.125,S4,0.848116646
1151666,2,0,237,861,54,4,16,3591,0,70,16,94,163,23717,459,72,645,3100,360,14701,12002,11063,808,18,5,0,2.72,13,1.52,3.63,0,62,51,0.23,1.94,0,0.3,100,0.4,0.69,0.07,S3,fr,Fr,1.905,0.02,1.708,0.197,S4,0.884660422
1151667,2,0,216,770,56,4,15,722,0,56,40,68,163,19484,373,70,550,2790,215,10408,15072,14567,802,18,5,0,2.55,13,1,3.56,0,48.2,70,0.26,1.73,0,0.26,90,0.31,0.75,0.19,S3,fr,Fr,0.73,0.2,0.688,0.042,S4,0.938953488
1151669,2,0,255,594,72,4,7,550,0,75,38,79,163,32604,654,100,760,3242,297,10454,17432,15714,706,18,5,0,2.98,13,1.16,2.33,0,41,68,0.28,2.56,0,0.29,128,0.31,0.64,0.15,S4,fr,Fr,1.299,0.28,1.218,0.081,S4,0.933497537
1151670,2,0,160,639,62,4,7,1693,0,67,42,115,163,27928,470,107,605,2882,173,9947,16904,12740,740,18,5,0,3.78,18,1.08,3.99,0,62.2,106,0.39,2.94,0,0.42,175,0.72,1.02,0.26,S4,fr,Fr,0.63,0.61,0.543,0.087,S4,0.839779006
1151673,2,0,157,779,22,4,17,787,0,28,34,26,163,11689,206,17,269,1828,239,11297,8795,11859,696,18,5,0,1.71,12,1.52,4.96,0,72,56,0.14,1.31,0,0.18,74,0.17,1.04,0.22,S3,fr,Fr,2.957,0.12,2.954,0.003,S4,0.998984428
1151675,2,0,224,857,35,4,16,1857,0,71,16,26,163,15689,307,17,538,2734,233,11727,12209,13449,968,18,5,0,2.4,12,1.04,3.83,0,52.4,55,0.16,1.37,0,0.32,70,0.12,0.73,0.07,S3,fr,Fr,0.173,0.57,0.119,0.054,S4,0.546218487
1151677,2,0,228,1030,31,9,18,1900,0,58,16,26,163,14790,293,17,468,2672,311,11737,10046,14917,907,18,5,0,2.05,12,1.36,4.52,0,51.5,44,0.14,1.29,0,0.25,65,0.11,0.71,0.07,S3,fr,Fr,0.255,0.45,0.219,0.036,S4,0.835616438
